"","shannon","simpson"
"Pos.3_S255_profile",3.12030241755585,0.939305709745541
"Pos.2_S191_profile",3.20980829454103,0.944317474520459
"Pos.1_S95_profile",3.2008233255307,0.943832929359799
"Neg.3_S256_profile",0,1
"Neg.2_S192_profile",0,1
"Neg.1_S96_profile",1.94591014905531,0.857142857142857
"fr.4888_S254_profile",3.188975022617,0.928111377683046
"fr.4646_S253_profile",3.16407922538067,0.926322454909097
"fr.4017_S146_profile",3.44047060743097,0.942184576283844
"fr.3908_S220_profile",3.37667356536161,0.941848087300323
"fr.3905_S252_profile",3.41647574044064,0.942246968028871
"fr.3688_S251_profile",3.10643482828107,0.921792564376715
"fr.3621_S72_profile",2.78638113598549,0.904683800771032
"fr.3540_S145_profile",3.35600927552159,0.936633196355178
"fr.3351_S182_profile",2.91176479511205,0.914592531435402
"fr.3245_S219_profile",3.22153434197963,0.931275514993035
"fr.3079_S250_profile",3.80192438502714,0.953103314689732
"fr.3025_S249_profile",2.59727403860317,0.894121244026534
"fr.2980_S110_profile",3.11157882746506,0.92517890834514
"fr.2942_S218_profile",3.58701043996494,0.948940989948946
"fr.2801_S181_profile",3.43992756340067,0.941368002668181
"fr.2601_S109_profile",3.02335711834738,0.917760661705314
"fr.2258_S180_profile",2.91035461246205,0.914141343554562
"fr.2246_S108_profile",3.16803854970196,0.929431922896276
"fr.2075_S217_profile",2.83147924558988,0.912351227851926
"fr.2071_S216_profile",2.98031337440309,0.9191166639661
"fr.138_S215_profile",3.27563661146777,0.936569152051957
"fr.1375_S71_profile",3.42296856385927,0.943502551498201
"X997_S44_profile",3.58130209067686,0.94647236647927
"X9853_S223_profile",3.08306417330204,0.923532713681785
"X9801_S170_profile",3.35574831446091,0.937169935755458
"X977_S148_profile",0,1
"X9763_S98_profile",3.36786864544526,0.941899799006261
"X9610_S23_profile",3.59676694303339,0.947935367103057
"X9564_S204_profile",3.2497895144187,0.932351338873107
"X9503_S203_profile",3.22856518687881,0.935857363125675
"X9469_S169_profile",3.42366025460483,0.943547638122872
"X9353_S97_profile",3.76743579209962,0.953652194158947
"X9286_S168_profile",3.42136304623675,0.943437304476508
"X9269_S202_profile",3.21064966229449,0.93003686073812
